product,text,sentimentType,commentCategoryName
https://shopee.co.th/GQ-Everyday-Short-%E0%B8%81%E0%B8%B2%E0%B8%87%E0%B9%80%E0%B8%81%E0%B8%87%E0%B8%82%E0%B8%B2%E0%B8%AA%E0%B8%B1%E0%B9%89%E0%B8%99%E0%B8%A3%E0%B8%B8%E0%B9%88%E0%B8%99%E0%B9%82%E0%B8%84%E0%B8%95%E0%B8%A3%E0%B8%84%E0%B8%B8%E0%B9%89%E0%B8%A1-%E0%B8%9C%E0%B9%89%E0%B8%B2%E0%B9%80%E0%B8%A2%E0%B9%87%E0%B8%99-%E0%B9%81%E0%B8%AB%E0%B9%89%E0%B8%87%E0%B9%84%E0%B8%A7%E0%B8%81%E0%B8%A7%E0%B9%88%E0%B8%B2%E0%B8%A3%E0%B8%B8%E0%B9%88%E0%B8%99%E0%B8%9B%E0%B8%81%E0%B8%95%E0%B8%B4-3-%E0%B9%80%E0%B8%97%E0%B9%88%E0%B8%B2-%E0%B8%A3%E0%B8%B0%E0%B8%9A%E0%B8%B2%E0%B8%A2%E0%B8%AD%E0%B8%B2%E0%B8%81%E0%B8%B2%E0%B8%A8%E0%B8%94%E0%B8%B5-%E0%B9%83%E0%B8%AA%E0%B9%88%E0%B8%AA%E0%B8%9A%E0%B8%B2%E0%B8%A2%E0%B8%88%E0%B8%B1%E0%B8%94-%E0%B8%81%E0%B8%B2%E0%B8%87%E0%B9%80%E0%B8%81%E0%B8%87%E0%B8%82%E0%B8%B2%E0%B8%AA%E0%B8%B1%E0%B9%89%E0%B8%99%E0%B8%9C%E0%B8%B9%E0%B9%89%E0%B8%8A%E0%B8%B2%E0%B8%A2-i.168932539.29555050918,สินค้าดีมีคุณภาพ เข้ารูปไม่โคล่งพอดีตัวใส่สบาย,pos,product
https://shopee.co.th/GQ-Everyday-Short-%E0%B8%81%E0%B8%B2%E0%B8%87%E0%B9%80%E0%B8%81%E0%B8%87%E0%B8%82%E0%B8%B2%E0%B8%AA%E0%B8%B1%E0%B9%89%E0%B8%99%E0%B8%A3%E0%B8%B8%E0%B9%88%E0%B8%99%E0%B9%82%E0%B8%84%E0%B8%95%E0%B8%A3%E0%B8%84%E0%B8%B8%E0%B9%89%E0%B8%A1-%E0%B8%9C%E0%B9%89%E0%B8%B2%E0%B9%80%E0%B8%A2%E0%B9%87%E0%B8%99-%E0%B9%81%E0%B8%AB%E0%B9%89%E0%B8%87%E0%B9%84%E0%B8%A7%E0%B8%81%E0%B8%A7%E0%B9%88%E0%B8%B2%E0%B8%A3%E0%B8%B8%E0%B9%88%E0%B8%99%E0%B8%9B%E0%B8%81%E0%B8%95%E0%B8%B4-3-%E0%B9%80%E0%B8%97%E0%B9%88%E0%B8%B2-%E0%B8%A3%E0%B8%B0%E0%B8%9A%E0%B8%B2%E0%B8%A2%E0%B8%AD%E0%B8%B2%E0%B8%81%E0%B8%B2%E0%B8%A8%E0%B8%94%E0%B8%B5-%E0%B9%83%E0%B8%AA%E0%B9%88%E0%B8%AA%E0%B8%9A%E0%B8%B2%E0%B8%A2%E0%B8%88%E0%B8%B1%E0%B8%94-%E0%B8%81%E0%B8%B2%E0%B8%87%E0%B9%80%E0%B8%81%E0%B8%87%E0%B8%82%E0%B8%B2%E0%B8%AA%E0%B8%B1%E0%B9%89%E0%B8%99%E0%B8%9C%E0%B8%B9%E0%B9%89%E0%B8%8A%E0%B8%B2%E0%B8%A2-i.168932539.29555050918,จัดส่งรวดเร็ว,pos,delivery
https://shopee.co.th/GQ-Everyday-Short-%E0%B8%81%E0%B8%B2%E0%B8%87%E0%B9%80%E0%B8%81%E0%B8%87%E0%B8%82%E0%B8%B2%E0%B8%AA%E0%B8%B1%E0%B9%89%E0%B8%99%E0%B8%A3%E0%B8%B8%E0%B9%88%E0%B8%99%E0%B9%82%E0%B8%84%E0%B8%95%E0%B8%A3%E0%B8%84%E0%B8%B8%E0%B9%89%E0%B8%A1-%E0%B8%9C%E0%B9%89%E0%B8%B2%E0%B9%80%E0%B8%A2%E0%B9%87%E0%B8%99-%E0%B9%81%E0%B8%AB%E0%B9%89%E0%B8%87%E0%B9%84%E0%B8%A7%E0%B8%81%E0%B8%A7%E0%B9%88%E0%B8%B2%E0%B8%A3%E0%B8%B8%E0%B9%88%E0%B8%99%E0%B8%9B%E0%B8%81%E0%B8%95%E0%B8%B4-3-%E0%B9%80%E0%B8%97%E0%B9%88%E0%B8%B2-%E0%B8%A3%E0%B8%B0%E0%B8%9A%E0%B8%B2%E0%B8%A2%E0%B8%AD%E0%B8%B2%E0%B8%81%E0%B8%B2%E0%B8%A8%E0%B8%94%E0%B8%B5-%E0%B9%83%E0%B8%AA%E0%B9%88%E0%B8%AA%E0%B8%9A%E0%B8%B2%E0%B8%A2%E0%B8%88%E0%B8%B1%E0%B8%94-%E0%B8%81%E0%B8%B2%E0%B8%87%E0%B9%80%E0%B8%81%E0%B8%87%E0%B8%82%E0%B8%B2%E0%B8%AA%E0%B8%B1%E0%B9%89%E0%B8%99%E0%B8%9C%E0%B8%B9%E0%B9%89%E0%B8%8A%E0%B8%B2%E0%B8%A2-i.168932539.29555050918,จัดส่งค่อนข้างช้า,neg,delivery
https://shopee.co.th/GQ-Everyday-Short-%E0%B8%81%E0%B8%B2%E0%B8%87%E0%B9%80%E0%B8%81%E0%B8%87%E0%B8%82%E0%B8%B2%E0%B8%AA%E0%B8%B1%E0%B9%89%E0%B8%99%E0%B8%A3%E0%B8%B8%E0%B9%88%E0%B8%99%E0%B9%82%E0%B8%84%E0%B8%95%E0%B8%A3%E0%B8%84%E0%B8%B8%E0%B9%89%E0%B8%A1-%E0%B8%9C%E0%B9%89%E0%B8%B2%E0%B9%80%E0%B8%A2%E0%B9%87%E0%B8%99-%E0%B9%81%E0%B8%AB%E0%B9%89%E0%B8%87%E0%B9%84%E0%B8%A7%E0%B8%81%E0%B8%A7%E0%B9%88%E0%B8%B2%E0%B8%A3%E0%B8%B8%E0%B9%88%E0%B8%99%E0%B8%9B%E0%B8%81%E0%B8%95%E0%B8%B4-3-%E0%B9%80%E0%B8%97%E0%B9%88%E0%B8%B2-%E0%B8%A3%E0%B8%B0%E0%B8%9A%E0%B8%B2%E0%B8%A2%E0%B8%AD%E0%B8%B2%E0%B8%81%E0%B8%B2%E0%B8%A8%E0%B8%94%E0%B8%B5-%E0%B9%83%E0%B8%AA%E0%B9%88%E0%B8%AA%E0%B8%9A%E0%B8%B2%E0%B8%A2%E0%B8%88%E0%B8%B1%E0%B8%94-%E0%B8%81%E0%B8%B2%E0%B8%87%E0%B9%80%E0%B8%81%E0%B8%87%E0%B8%82%E0%B8%B2%E0%B8%AA%E0%B8%B1%E0%B9%89%E0%B8%99%E0%B8%9C%E0%B8%B9%E0%B9%89%E0%B8%8A%E0%B8%B2%E0%B8%A2-i.168932539.29555050918,บริการดีมาก ตอบแชทค่อนข้างไว,pos,service
https://shopee.co.th/GQ-Everyday-Short-%E0%B8%81%E0%B8%B2%E0%B8%87%E0%B9%80%E0%B8%81%E0%B8%87%E0%B8%82%E0%B8%B2%E0%B8%AA%E0%B8%B1%E0%B9%89%E0%B8%99%E0%B8%A3%E0%B8%B8%E0%B9%88%E0%B8%99%E0%B9%82%E0%B8%84%E0%B8%95%E0%B8%A3%E0%B8%84%E0%B8%B8%E0%B9%89%E0%B8%A1-%E0%B8%9C%E0%B9%89%E0%B8%B2%E0%B9%80%E0%B8%A2%E0%B9%87%E0%B8%99-%E0%B9%81%E0%B8%AB%E0%B9%89%E0%B8%87%E0%B9%84%E0%B8%A7%E0%B8%81%E0%B8%A7%E0%B9%88%E0%B8%B2%E0%B8%A3%E0%B8%B8%E0%B9%88%E0%B8%99%E0%B8%9B%E0%B8%81%E0%B8%95%E0%B8%B4-3-%E0%B9%80%E0%B8%97%E0%B9%88%E0%B8%B2-%E0%B8%A3%E0%B8%B0%E0%B8%9A%E0%B8%B2%E0%B8%A2%E0%B8%AD%E0%B8%B2%E0%B8%81%E0%B8%B2%E0%B8%A8%E0%B8%94%E0%B8%B5-%E0%B9%83%E0%B8%AA%E0%B9%88%E0%B8%AA%E0%B8%9A%E0%B8%B2%E0%B8%A2%E0%B8%88%E0%B8%B1%E0%B8%94-%E0%B8%81%E0%B8%B2%E0%B8%87%E0%B9%80%E0%B8%81%E0%B8%87%E0%B8%82%E0%B8%B2%E0%B8%AA%E0%B8%B1%E0%B9%89%E0%B8%99%E0%B8%9C%E0%B8%B9%E0%B9%89%E0%B8%8A%E0%B8%B2%E0%B8%A2-i.168932539.29555050918,ทรงสวยพอใช้ได้ เหมาะกับใส่เล่นอยู่บ้าน,neu,product
https://shopee.co.th/GQ-Everyday-Short-%E0%B8%81%E0%B8%B2%E0%B8%87%E0%B9%80%E0%B8%81%E0%B8%87%E0%B8%82%E0%B8%B2%E0%B8%AA%E0%B8%B1%E0%B9%89%E0%B8%99%E0%B8%A3%E0%B8%B8%E0%B9%88%E0%B8%99%E0%B9%82%E0%B8%84%E0%B8%95%E0%B8%A3%E0%B8%84%E0%B8%B8%E0%B9%89%E0%B8%A1-%E0%B8%9C%E0%B9%89%E0%B8%B2%E0%B9%80%E0%B8%A2%E0%B9%87%E0%B8%99-%E0%B9%81%E0%B8%AB%E0%B9%89%E0%B8%87%E0%B9%84%E0%B8%A7%E0%B8%81%E0%B8%A7%E0%B9%88%E0%B8%B2%E0%B8%A3%E0%B8%B8%E0%B9%88%E0%B8%99%E0%B8%9B%E0%B8%81%E0%B8%95%E0%B8%B4-3-%E0%B9%80%E0%B8%97%E0%B9%88%E0%B8%B2-%E0%B8%A3%E0%B8%B0%E0%B8%9A%E0%B8%B2%E0%B8%A2%E0%B8%AD%E0%B8%B2%E0%B8%81%E0%B8%B2%E0%B8%A8%E0%B8%94%E0%B8%B5-%E0%B9%83%E0%B8%AA%E0%B9%88%E0%B8%AA%E0%B8%9A%E0%B8%B2%E0%B8%A2%E0%B8%88%E0%B8%B1%E0%B8%94-%E0%B8%81%E0%B8%B2%E0%B8%87%E0%B9%80%E0%B8%81%E0%B8%87%E0%B8%82%E0%B8%B2%E0%B8%AA%E0%B8%B1%E0%B9%89%E0%B8%99%E0%B8%9C%E0%B8%B9%E0%B9%89%E0%B8%8A%E0%B8%B2%E0%B8%A2-i.168932539.29555050918,เนื้อผ้าไม่แข็ง ใส่สบาย,pos,product
https://shopee.co.th/GQ-Everyday-Short-%E0%B8%81%E0%B8%B2%E0%B8%87%E0%B9%80%E0%B8%81%E0%B8%87%E0%B8%82%E0%B8%B2%E0%B8%AA%E0%B8%B1%E0%B9%89%E0%B8%99%E0%B8%A3%E0%B8%B8%E0%B9%88%E0%B8%99%E0%B9%82%E0%B8%84%E0%B8%95%E0%B8%A3%E0%B8%84%E0%B8%B8%E0%B9%89%E0%B8%A1-%E0%B8%9C%E0%B9%89%E0%B8%B2%E0%B9%80%E0%B8%A2%E0%B9%87%E0%B8%99-%E0%B9%81%E0%B8%AB%E0%B9%89%E0%B8%87%E0%B9%84%E0%B8%A7%E0%B8%81%E0%B8%A7%E0%B9%88%E0%B8%B2%E0%B8%A3%E0%B8%B8%E0%B9%88%E0%B8%99%E0%B8%9B%E0%B8%81%E0%B8%95%E0%B8%B4-3-%E0%B9%80%E0%B8%97%E0%B9%88%E0%B8%B2-%E0%B8%A3%E0%B8%B0%E0%B8%9A%E0%B8%B2%E0%B8%A2%E0%B8%AD%E0%B8%B2%E0%B8%81%E0%B8%B2%E0%B8%A8%E0%B8%94%E0%B8%B5-%E0%B9%83%E0%B8%AA%E0%B9%88%E0%B8%AA%E0%B8%9A%E0%B8%B2%E0%B8%A2%E0%B8%88%E0%B8%B1%E0%B8%94-%E0%B8%81%E0%B8%B2%E0%B8%87%E0%B9%80%E0%B8%81%E0%B8%87%E0%B8%82%E0%B8%B2%E0%B8%AA%E0%B8%B1%E0%B9%89%E0%B8%99%E0%B8%9C%E0%B8%B9%E0%B9%89%E0%B8%8A%E0%B8%B2%E0%B8%A2-i.168932539.29555050918,จัดส่งเร็วมาก,pos,delivery
https://shopee.co.th/GQ-Everyday-Short-%E0%B8%81%E0%B8%B2%E0%B8%87%E0%B9%80%E0%B8%81%E0%B8%87%E0%B8%82%E0%B8%B2%E0%B8%AA%E0%B8%B1%E0%B9%89%E0%B8%99%E0%B8%A3%E0%B8%B8%E0%B9%88%E0%B8%99%E0%B9%82%E0%B8%84%E0%B8%95%E0%B8%A3%E0%B8%84%E0%B8%B8%E0%B9%89%E0%B8%A1-%E0%B8%9C%E0%B9%89%E0%B8%B2%E0%B9%80%E0%B8%A2%E0%B9%87%E0%B8%99-%E0%B9%81%E0%B8%AB%E0%B9%89%E0%B8%87%E0%B9%84%E0%B8%A7%E0%B8%81%E0%B8%A7%E0%B9%88%E0%B8%B2%E0%B8%A3%E0%B8%B8%E0%B9%88%E0%B8%99%E0%B8%9B%E0%B8%81%E0%B8%95%E0%B8%B4-3-%E0%B9%80%E0%B8%97%E0%B9%88%E0%B8%B2-%E0%B8%A3%E0%B8%B0%E0%B8%9A%E0%B8%B2%E0%B8%A2%E0%B8%AD%E0%B8%B2%E0%B8%81%E0%B8%B2%E0%B8%A8%E0%B8%94%E0%B8%B5-%E0%B9%83%E0%B8%AA%E0%B9%88%E0%B8%AA%E0%B8%9A%E0%B8%B2%E0%B8%A2%E0%B8%88%E0%B8%B1%E0%B8%94-%E0%B8%81%E0%B8%B2%E0%B8%87%E0%B9%80%E0%B8%81%E0%B8%87%E0%B8%82%E0%B8%B2%E0%B8%AA%E0%B8%B1%E0%B9%89%E0%B8%99%E0%B8%9C%E0%B8%B9%E0%B9%89%E0%B8%8A%E0%B8%B2%E0%B8%A2-i.168932539.29555050918,งานดีตรงปกการตัดเย็บดูดีม๊ากราคาก็ถูกอีก,pos,product
https://shopee.co.th/GQ-Everyday-Short-%E0%B8%81%E0%B8%B2%E0%B8%87%E0%B9%80%E0%B8%81%E0%B8%87%E0%B8%82%E0%B8%B2%E0%B8%AA%E0%B8%B1%E0%B9%89%E0%B8%99%E0%B8%A3%E0%B8%B8%E0%B9%88%E0%B8%99%E0%B9%82%E0%B8%84%E0%B8%95%E0%B8%A3%E0%B8%84%E0%B8%B8%E0%B9%89%E0%B8%A1-%E0%B8%9C%E0%B9%89%E0%B8%B2%E0%B9%80%E0%B8%A2%E0%B9%87%E0%B8%99-%E0%B9%81%E0%B8%AB%E0%B9%89%E0%B8%87%E0%B9%84%E0%B8%A7%E0%B8%81%E0%B8%A7%E0%B9%88%E0%B8%B2%E0%B8%A3%E0%B8%B8%E0%B9%88%E0%B8%99%E0%B8%9B%E0%B8%81%E0%B8%95%E0%B8%B4-3-%E0%B9%80%E0%B8%97%E0%B9%88%E0%B8%B2-%E0%B8%A3%E0%B8%B0%E0%B8%9A%E0%B8%B2%E0%B8%A2%E0%B8%AD%E0%B8%B2%E0%B8%81%E0%B8%B2%E0%B8%A8%E0%B8%94%E0%B8%B5-%E0%B9%83%E0%B8%AA%E0%B9%88%E0%B8%AA%E0%B8%9A%E0%B8%B2%E0%B8%A2%E0%B8%88%E0%B8%B1%E0%B8%94-%E0%B8%81%E0%B8%B2%E0%B8%87%E0%B9%80%E0%B8%81%E0%B8%87%E0%B8%82%E0%B8%B2%E0%B8%AA%E0%B8%B1%E0%B9%89%E0%B8%99%E0%B8%9C%E0%B8%B9%E0%B9%89%E0%B8%8A%E0%B8%B2%E0%B8%A2-i.168932539.29555050918,การจัดส่งก็รวดเร็วทันใจพนักงานขนส่งก็บริการดีครับ,pos,delivery
https://shopee.co.th/GQ-Everyday-Short-%E0%B8%81%E0%B8%B2%E0%B8%87%E0%B9%80%E0%B8%81%E0%B8%87%E0%B8%82%E0%B8%B2%E0%B8%AA%E0%B8%B1%E0%B9%89%E0%B8%99%E0%B8%A3%E0%B8%B8%E0%B9%88%E0%B8%99%E0%B9%82%E0%B8%84%E0%B8%95%E0%B8%A3%E0%B8%84%E0%B8%B8%E0%B9%89%E0%B8%A1-%E0%B8%9C%E0%B9%89%E0%B8%B2%E0%B9%80%E0%B8%A2%E0%B9%87%E0%B8%99-%E0%B9%81%E0%B8%AB%E0%B9%89%E0%B8%87%E0%B9%84%E0%B8%A7%E0%B8%81%E0%B8%A7%E0%B9%88%E0%B8%B2%E0%B8%A3%E0%B8%B8%E0%B9%88%E0%B8%99%E0%B8%9B%E0%B8%81%E0%B8%95%E0%B8%B4-3-%E0%B9%80%E0%B8%97%E0%B9%88%E0%B8%B2-%E0%B8%A3%E0%B8%B0%E0%B8%9A%E0%B8%B2%E0%B8%A2%E0%B8%AD%E0%B8%B2%E0%B8%81%E0%B8%B2%E0%B8%A8%E0%B8%94%E0%B8%B5-%E0%B9%83%E0%B8%AA%E0%B9%88%E0%B8%AA%E0%B8%9A%E0%B8%B2%E0%B8%A2%E0%B8%88%E0%B8%B1%E0%B8%94-%E0%B8%81%E0%B8%B2%E0%B8%87%E0%B9%80%E0%B8%81%E0%B8%87%E0%B8%82%E0%B8%B2%E0%B8%AA%E0%B8%B1%E0%B9%89%E0%B8%99%E0%B8%9C%E0%B8%B9%E0%B9%89%E0%B8%8A%E0%B8%B2%E0%B8%A2-i.168932539.29555050918,สินค้าลดราคาครึ่งครึ่งแต่คุณภาพเต็มร้อย,pos,product
